file_name,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),NH3 (ug/m3),Temp (degree C),RH (%),WS (m/s),RF (mm),year,month,day,hour,weekday
TG002,49.433150429567185,100.0948616739612,39.443215810233966,27.540437131896038,6.567891878748582,0.6541432971308153,36.94251202247798,15.174213540822391,30.311738801534553,56.87291727454477,0.7846323012914033,0.08499864915977738,2017.9456962230508,6.6469714162208895,15.448478953909332,11.692035446047441,3.0075647052466636
TG003,42.600347698109736,96.08855332750771,44.4751862668445,30.46939911695718,8.574801775284,0.7212958193441568,22.27693004645173,9.585349307823208,29.599041760566617,58.9796900151773,1.8173232764567906,0.04288920572138159,2019.3317159545602,6.471761026537276,15.769121096444833,11.652416869797175,3.010302166214414
TG004,43.516544347788546,98.17653981479482,22.780202905433114,15.256841150948691,15.328015196321799,0.6018112547758326,25.705659118872365,21.51361711313057,29.751059641245927,61.418681114684745,2.551338096574352,0.007948496557083342,2019.6870507479439,6.42841107777322,15.773199214281089,11.596218188097653,2.9977982601938393
TG005,38.566500340020404,88.18430975858551,15.90609422815369,11.587829607276436,10.666113354301258,0.4823546412784767,32.54534894593675,11.03990819449167,29.490580797347842,65.08899800238015,0.8470790122407345,0.015524906494389663,2019.7072849370961,6.410850901054063,15.783598265895954,11.549600476028562,3.02054998299898
TG006,34.11924905565348,83.18207756232687,35.32188088642659,21.661672374716698,4.822175522538403,0.5108164190380257,35.90246058927222,12.26710853689247,28.51069428355578,61.7844976076555,1.2573777386048854,0.06112112817929992,2019.8274490052884,6.554192898514228,15.747846889952154,11.681012339461093,2.9713422311760262
TG007,26.244729278074864,56.33172794117647,6.5176036096256675,12.61235962566845,6.022680481283422,0.558191844919786,31.531014371657754,14.581276737967915,25.469999999999995,61.97661263368984,0.46106784759358294,0.02061831550802139,2022.3143382352941,6.827874331550802,16.108455882352942,11.604946524064172,3.005013368983957
TG008,32.610073349633254,66.21086338630808,6.254217603911981,12.532698655256723,5.6203499388753055,0.6317542787286063,13.551995721271393,12.45497555012225,25.47,69.48314639364304,4.424653117359413,0.005273533007334963,2022.2999694376529,6.793704156479218,16.109413202933986,11.533160146699267,2.969284841075795
TG009,28.106464311994113,49.282089771891094,5.115916114790287,12.020465415746873,6.840022075055188,0.7495584988962473,21.76421817512877,11.707593818984549,25.469999999999995,63.2209621044886,0.8391243561442236,0.00042862398822663723,2022.2873436350258,6.872516556291391,15.723509933774835,11.690213392200148,3.0745033112582782
TG010,32.03447204968944,55.06802277432712,5.474086069210292,12.840785270629992,5.882432712215321,0.5792250813368826,16.820879917184264,11.35195947944395,25.47,66.4307571724342,1.0667110322389826,0.0,2022.2898550724638,6.9438036083998815,15.73972197574682,11.595533865720201,3.050724637681159
TG011,29.65945194845521,66.64078403974538,6.846294053718367,14.452355224344045,9.851308802980903,0.7994022667287688,20.083865859338612,15.385117217823318,25.47,49.3143502561714,0.3044604875019407,0.04879521813383016,2022.2786834342494,6.92206179164726,15.695078403974538,11.60937742586555,3.0141282409563734
TG012,35.65555331053777,67.65794218215729,8.479884986011813,16.95886073981971,6.361717438607398,0.7529157600248679,18.09008237488343,9.576790488032328,25.47,69.25824681380168,0.6966863537457257,0.05464563257693503,2022.2792974821261,6.896331986322661,15.82312713708424,11.475442959278832,2.9741995648119364
TG014,34.58606004447739,57.709855448480354,4.70689028910304,9.893745366938473,6.685207561156411,0.6634358784284655,15.594571905114899,10.534455151964417,25.47,50.398319125277986,1.503943661971831,0.003426612305411416,2022.276871756857,7.089510748702743,16.23146775389177,11.563750926612306,2.9822090437361006
